Site_YR,hostcode,site,state,species,sex,svl,stage,P-ACSP,P-CLSP,P-MEMO,P-NEMA,P-COVA,P-RHAB,P-RION,P-BASP,P-TIAU,P-EITA,P-NYCO,P-OPRA,BD_POZ,RV_POZ,ttx_cm2
BNPND019_2015,BNPND019_20150519_TATO_001,BNPND019,CA,TATO,Male,62.89,Adult,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1800.6907
BNPND019_2015,BNPND019_20150519_TATO_002,BNPND019,CA,TATO,Female,65.61,Adult,0,0,0,0,0,1,0,0,0,0,0,0,1,1,704.2336
BNPND019_2015,BNPND019_20150519_TATO_003,BNPND019,CA,TATO,Female,61.43,Adult,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1495.124
BNPND019_2015,BNPND019_20150519_TATO_004,BNPND019,CA,TATO,Female,61.78,Adult,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4808.9727
BNPND020_2015,BNPND020_20150602_TATO_001,BNPND020,CA,TATO,Male,85.89,Adult,0,2,2,0,0,0,0,0,0,0,0,0,0,0,3534.0193
BNPND020_2015,BNPND020_20150602_TATO_007,BNPND020,CA,TATO,Female,70.28,Adult,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3009.2899
BNPND020_2015,BNPND020_20150602_TATO_008,BNPND020,CA,TATO,Female,71.51,Adult,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3042.5297
BNPND020_2015,BNPND020_20150602_TATO_009,BNPND020,CA,TATO,Female,56.17,Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2691.268
BNPND020_2015,BNPND020_20150602_TATO_010,BNPND020,CA,TATO,Female,77.81,Adult,0,0,0,0,0,7,0,1,0,0,0,0,0,0,12922.2876
CA-BN003_2015,CA-BN003_20150603_TAGR_001,CA-BN003,CA,TAGR,Female,65.15,Adult,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4208.4413
CA-BN003_2015,CA-BN003_20150603_TAGR_002,CA-BN003,CA,TAGR,Male,70.26,Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3857.7777
CA-BN003_2015,CA-BN003_20150603_TAGR_003,CA-BN003,CA,TAGR,Female,65.81,Adult,0,0,0,0,88,3,0,0,0,0,0,0,0,0,3180.9185
CA-BN003_2015,CA-BN003_20150603_TAGR_004,CA-BN003,CA,TAGR,Male,74.35,Adult,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9069.4559
CA-BN003_2015,CA-BN003_20150603_TATO_001,CA-BN003,CA,TATO,Male,73.26,Adult,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3007.4351
CA-BN003_2015,CA-BN003_20150603_TATO_003,CA-BN003,CA,TATO,Male,54.46,Adult,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3897.6891
CA-BN003_2015,CA-BN003_20150603_TATO_004,CA-BN003,CA,TATO,Female,55.24,Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4238.5383
CA-BN003_2015,CA-BN003_20150603_TATO_005,CA-BN003,CA,TATO,Female,68.03,Adult,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14120.1799
CA-BN003_2015,CA-BN003_20150603_TATO_009,CA-BN003,CA,TATO,Female,58.52,Adult,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3176.3494
